epoch,accuracy,auc,false_negatives,false_positives,loss,mean_absolute_error,mean_squared_error,precision,recall,root_mean_squared_error,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_mean_absolute_error,val_mean_squared_error,val_precision,val_recall,val_root_mean_squared_error,val_true_negatives,val_true_positives
53,0.9153139591217041,0.9047107696533203,428789.0,2691948.0,0.23054267466068268,0.11488651484251022,0.09993777424097061,0.2067338228225708,0.620654821395874,0.3161293566226959,25734512.0,701551.0,0.9197656512260437,0.9032343029975891,19281.0,132765.0,0.221295565366745,0.11425863206386566,0.10136283934116364,0.2024305909872055,0.6360564827919006,0.3183753490447998,1247857.0,33697.0
54,0.9154374003410339,0.9050137996673584,427683.0,2692405.0,0.22981643676757812,0.11481466889381409,0.09986426681280136,0.2069644033908844,0.6216332912445068,0.3160130977630615,25734052.0,702657.0,0.9200893044471741,0.9024491906166077,19435.0,132559.0,0.22066548466682434,0.11462949216365814,0.10133648663759232,0.20194217562675476,0.6331496238708496,0.3183339238166809,1248063.0,33543.0
55,0.9156320095062256,0.9049078226089478,427035.0,2692170.0,0.22969812154769897,0.1147858127951622,0.09983991086483002,0.2071300745010376,0.6222065687179565,0.31597453355789185,25734284.0,703305.0,0.9201785922050476,0.903366208076477,19108.0,132916.0,0.22131462395191193,0.11395557969808578,0.10134223103523254,0.2030746042728424,0.6393219828605652,0.3183429539203644,1247706.0,33870.0
56,0.9157289266586304,0.9051222205162048,426347.0,2692083.0,0.22898684442043304,0.11474505066871643,0.09981473535299301,0.20729601383209229,0.6228152513504028,0.3159346878528595,25734378.0,703993.0,0.9204352498054504,0.9031120538711548,19121.0,132784.0,0.22047199308872223,0.11415579915046692,0.10131081938743591,0.20317329466342926,0.6390765905380249,0.31829357147216797,1247838.0,33857.0
57,0.9157803058624268,0.9052475094795227,425420.0,2692643.0,0.22880513966083527,0.11469797044992447,0.09976062178611755,0.2074781209230423,0.6236353516578674,0.31584903597831726,25733816.0,704920.0,0.9204576015472412,0.9034629464149475,19078.0,132848.0,0.2201119065284729,0.11403843760490417,0.10129718482494354,0.20330078899860382,0.6398882269859314,0.31827226281166077,1247774.0,33900.0
58,0.9160252809524536,0.9052150249481201,423850.0,2692616.0,0.22815604507923126,0.11463037878274918,0.09983520954847336,0.20784582197666168,0.6250243186950684,0.3159670829772949,25733848.0,706490.0,0.9203571677207947,0.9030450582504272,18986.0,132913.0,0.22041404247283936,0.11402926594018936,0.10129793733358383,0.2036607712507248,0.6416248083114624,0.3182734549045563,1247709.0,33992.0
59,0.9160244464874268,0.9054864048957825,423564.0,2692410.0,0.22741903364658356,0.11457309871912003,0.09972073882818222,0.20792508125305176,0.6252773404121399,0.3157859146595001,25734048.0,706776.0,0.9206473231315613,0.9033381342887878,18941.0,132943.0,0.22124028205871582,0.11389760673046112,0.10130173712968826,0.2038387805223465,0.6424742341041565,0.3182794451713562,1247679.0,34037.0
60,0.9162691235542297,0.9054381847381592,422980.0,2692377.0,0.22718140482902527,0.11454290896654129,0.09975510835647583,0.20806315541267395,0.625793993473053,0.31584033370018005,25734082.0,707360.0,0.9209263324737549,0.9028410911560059,19037.0,132710.0,0.21964100003242493,0.11418241262435913,0.10124941170215607,0.2036651372909546,0.6406621336936951,0.3181971311569214,1247912.0,33941.0
61,0.9164418578147888,0.9054179191589355,421303.0,2692724.0,0.22685523331165314,0.11448807269334793,0.0997549444437027,0.20843233168125153,0.6272776126861572,0.3158400356769562,25733736.0,709037.0,0.9209877252578735,0.9034686088562012,18879.0,132895.0,0.22006994485855103,0.11386173963546753,0.10125760734081268,0.20419296622276306,0.6436445116996765,0.31821003556251526,1247727.0,34099.0
62,0.9165695905685425,0.9056074619293213,420157.0,2692482.0,0.22594377398490906,0.1144159659743309,0.09970822185277939,0.20871375501155853,0.6282914876937866,0.3157660961151123,25733978.0,710183.0,0.9208537936210632,0.9030215740203857,19124.0,132670.0,0.2196977287530899,0.11417146027088165,0.10125348716974258,0.20329801738262177,0.6390199661254883,0.31820356845855713,1247952.0,33854.0
63,0.9167208671569824,0.9055495262145996,420289.0,2692810.0,0.22600707411766052,0.11440347880125046,0.09974917769432068,0.2086629420518875,0.6281747221946716,0.31583094596862793,25733648.0,710051.0,0.9210602641105652,0.9035816192626953,18844.0,132979.0,0.22019214928150177,0.11374732851982117,0.10125384479761124,0.20425699651241302,0.6443051695823669,0.3182041049003601,1247643.0,34134.0
64,0.9169338941574097,0.9058098793029785,418810.0,2692558.0,0.22528021037578583,0.11432688683271408,0.09967216849327087,0.20902220904827118,0.629483163356781,0.3157089650630951,25733900.0,711530.0,0.9211719036102295,0.9032581448554993,18956.0,132823.0,0.21969687938690186,0.1140281930565834,0.10125607252120972,0.20391380786895752,0.6421911120414734,0.3182075321674347,1247799.0,34022.0
65,0.9169791340827942,0.9057661294937134,418706.0,2692643.0,0.2250005602836609,0.11434232443571091,0.0996769443154335,0.20904116332530975,0.6295751929283142,0.31571656465530396,25733814.0,711634.0,0.921082615852356,0.903537929058075,18998.0,132703.0,0.21930880844593048,0.11396259069442749,0.10121877491474152,0.20386001467704773,0.6413983106613159,0.31814903020858765,1247919.0,33980.0
66,0.9169707298278809,0.9061259031295776,417893.0,2691802.0,0.22454503178596497,0.11427745968103409,0.09954534471035004,0.20928169786930084,0.6302944421768188,0.31550806760787964,25734656.0,712447.0,0.9213169813156128,0.9033918380737305,18693.0,132951.0,0.21937295794487,0.11375957727432251,0.10118340700864792,0.20500968396663666,0.6471554040908813,0.3180934488773346,1247671.0,34285.0
67,0.9170267581939697,0.9063610434532166,416655.0,2691778.0,0.22387352585792542,0.11420567333698273,0.09943938255310059,0.20957061648368835,0.6313896775245667,0.3153401017189026,25734684.0,713685.0,0.9211941957473755,0.9030852913856506,18638.0,133015.0,0.2189236581325531,0.11375504732131958,0.10117358714342117,0.20519255101680756,0.6481935977935791,0.31807804107666016,1247607.0,34340.0
68,0.9172251224517822,0.9063193798065186,415277.0,2692618.0,0.22354157269001007,0.1141715720295906,0.09944749623537064,0.2098385989665985,0.6326087713241577,0.3153529465198517,25733844.0,715063.0,0.921305775642395,0.9036804437637329,18787.0,132969.0,0.21949799358844757,0.11375463008880615,0.10119468718767166,0.20454056560993195,0.6453810930252075,0.3181111812591553,1247653.0,34191.0
69,0.9173117280006409,0.9063366651535034,415028.0,2692701.0,0.22318311035633087,0.11415421962738037,0.09949840605258942,0.209891214966774,0.6328290700912476,0.31543368101119995,25733756.0,715312.0,0.9215067028999329,0.9037802815437317,18565.0,133106.0,0.22019118070602417,0.11349686980247498,0.10121526569128036,0.20542743802070618,0.6495715379714966,0.31814342737197876,1247516.0,34413.0
